127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000334
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001193
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000951
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001789
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000751
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000608
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001040
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003098
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001796
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001178
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001658
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002503
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003195
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001779
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001063
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000926
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002207
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000904
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.003277
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001554
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001633
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.006515
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000643
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/js/typeahead.min.js, HTTP/1.1, 200, 0.000539
